Message ID,Spot,Comments
16079,"Aggiunta nuova funzionalità ""Follow 👁"" per poter seguire uno spot e ricevere una notifica dal bot ogniqualvolta verrà scritto un commento (thanks @TaToTan).

Fateci sapere nei commenti cosa ne pensate, come migliorarla o eventuali altre feature che potremmo aggiungere a spotted","['O one-time. In ogni caso sarebbe un numeretto per ogni spot, nulla di troppo pesante per il db', 'Vero, ci sta, un token randomico, magari anche ""a tempo"" per evitare di intasare il database', 'E\' comunque fattibile, generi un token per ogni spot e lo mandi assieme al ""Il tuo spot è stato approvato"". Se vuoi rispondere, fai qualcosa tipo  /reply TOKEN MESSAGGIO', 'Qui è più pesante, perchè di fatto dovresti avere un modo di collegare autore e spot', 'Io voglio seguirti ovunque', ""Anche qui però si apre lo stesso problema sull'anonimato, non la renderei una cosa automatica del bot ma qualcosa che l'autore può scegliere"", 'potremmo implementarla, ""sperimentarla"", se succedono casini la ritiriamo se no la teniamo attiva, crea una issue', None, ""Esatto, diventerebbe più semplice svelarne l'identità, alla fine se vuoi mettere il follow al tuo stesso spot puoi farlo facilmente"", ""In realtà fin quando lo spot non è approvato l'utente è di fatto associato. Però ho capito la vuln, tecnicamente il primo follower di ogni spot sarebbe l'autore. Good point"", 'Questo ricade nel problema di come rendere il tutto anonimo', ""Seguendo questa nuova feature aggiungerei la possibilità per l'autore di commentare anonimamente i propri post, con approvazione dagli admin, una volta al giorno per evitare spam/abusi"", 'questo perchè non ti fidi degli admin e pensi che noi ci mettiamo a spiarti nella notte\nfai bene, lo facciamo giornalmente 🔥', 'Il problema di questa cosa é che il bot assocerebbe l\'autore allo spot in automatico in maniera ""trasparente"" all\'utente senza chiedere esplicito consenso, non é il top dato che lo scopo di Spotted é sempre stato quello di mantenere l\'anonimato il più possibile', 'Possibile feature futura: i messaggi inviati dal bot ""stai seguendo lo spot"" e il suo contrario potrebbero venire editati ogni volta che si spamma ""follow"" ""follow"" ""follow"".\nPer il resto è una funzionalità bellissima. Ottimo lavoro', 'Grande @TaToTan, se posso consigliare una feature (Se è semplice, nessuna pretesa), potresti attivarla automaticamente per il proprietario dello spot. Credo sia fattibile perchè c\'è quel lasso di tempo in cui il bot sa chi è l\'autore e ti manda ""Il tuo post è stato accettato""', '🔥', None, '🔥🔥🔥', 'by: signor nessuno']"
16078,spotto aiuto in analisi 2 che sto cominciando a non capire più nulla dopo nemmeno un mese,['by: anonimo']
16077,Spotto Studium down,"['Si dice diversamente abile', 'by: Are you winning son?']"
16076,Ma cosa succede se lancio git emmuort?,"['lo sa solo @Helias', 'è una shortcut per \nrm -rf *\ngit commit -m ""napoli""\ngit push --force', 'Diventi comunapoletano', 'pushi sul main', 'Scuole chiuse a Napoli', 'Se vuoi posso chiederglielo venerdì al prof. Fornaia 🤣🤣🤣🤣', 'by: signorina']"
16075,Cosa ne pensate dei nuovi Apple Silicon M3?,"['DESTINAZIONE MARE', 'è molto più interessante lo snapdragon x elite', 'Ne parlo col mio fruttivendolo di fiducia e ti faccio sapere', 'In realtà nemmeno sapevo della loro uscita', 'belli, ma prezzi sempre più alti', 'nulla', 'by: pensione a Cuba']"
16074,Ma scusate 😭 potete centrare il gabinetto quando ci andate?? 😭,"['Trovo sia un po skill issue', 'È tornato il cacatore seriale...', 'Ma perché se ne parla oggi che il dmi è stato chiuso 😂', 'ma ormai è diventato un must parlare dei cessi una volta al giorno', 'by: Waluigi']"
16073,"Spotto le dipendenze circolari, l'inversion of control, il singleton e i marò",['by: Belle Delphine']
16072,,"[None, 'È quello di mannino ma è la mia foto (che avevo fatto per chiedere se lo avessero trovato visto che è uguale al suo), l’hanno ripostata per fare questa battuta che non fa ridere. Non lo hanno ritrovato', '@Manuel26_01 conoscendoti sicuramente è tuo che perdi una cosa al giorno', 'by: V per Vedetta (ops)']"
16071,Ho trovato una guardiola in aula 2. L'ho portata in guardiola,"['Ho trovato un aula 2 in guardiola, l’ho portata in caricabatterie', None, 'sus', 'by: Xenia, the Linux mascot']"
16070,"Uffa proprio oggi manca l'acqua. Oggi dovevo farmi la mia doccia del mese diamine. Vabbè, sarà per il mese prossimo","['🤣', 'Ti lavi al DMI?', 'Ahhh ecco allora chi è che mi compagnia 😂', 'by: Barbero']"
16069,Ma com'è possibile che dopo un mese dall'inizio delle lezioni non siano ancora disponibili le date degli esami?,"[""[Informatica L-31]\nhttp://web.dmi.unict.it//it/corsi/l-31/avvisi/date-esami-202324\n\nDate esami 2023/24\nIn allegato il calendario degli esami per l'A.A. in corso. Le stesse date saranno presto caricate sul portale studenti."", None, None, 'È regolare', 'Li stanno pubblicando', 'by: darkangelcraft']"
16068,"Quando non andate a lezione, come fate a tenervi al passo con gli argomenti?","[None, 'Beh facile, interagisci con le persone, chiedi se hanno appunti e poi li usi come linea guida', 'li recuperi', 'by: patato']"
16067,"In America: Ho trovato un fucile in aula 2, l'ho lasciato in guardiola.","['""raga ho dimenticato il caricatore in aula 3""', None, ""e, plot twist, non c'è la spoletta"", 'pensa se trovavi una granata', 'by: Are you winning son?']"
16066,Ho trovato un giubbotto in aula 2. L'ho portato in guardiola,"['pep?', 'by: geek']"
16065,,"['This message is not supported by your version of Telegram. Update the app to view: https://telegram.org/update', 'Half-Life: DMI', None, None, 'Il fantasma del DMI... È LA VALVE™?', ""Prego, volevo dare un po'  più di tempo ai ragazzi con gli ofa"", 'by: cribbio']"
16064,ma pure giorno 2 non ci saranno lezioni ?,"[""perché? c'è veramente la possibilità che non ci sia lezione?"", 'Ancora non si sa nulla, appena si avranno notizie certe vi faremo sapere', 'by: Wololo']"
16063,,"['In Italia va convertito in bestemmie al minuto', '❤️', 'by: Barbero']"
16062,,['by: xX_O(n)DarkFaro_Xx']
16061,Ma per la mancanza dell'acqua faranno qualcosa?,"['Dipartimento chiuso', 'https://web.dmi.unict.it/it/notizie/urgente-chiusura-del-dipartimento', ""Ancora no ragazzi, non c'è niente di certo. Vi invito a tenere d'occhio il dmi news perché a momenti esce il comunicato ufficiale"", 'Per il pomeriggio si sa qualcosa?', 'Senza nessuna comunicazione da parte del direttore tutto procederà come sempre, non facciamo allarmismi prima', 'a breve vi verrà comunicato il da farsi', 'by: Tecnico della guardiola']"
16060,Che ne pensate dei risultati delle elezioni?,"['Belli', 'Finché Messi è in attività merita lui', None, 'De Bruyne più completo secondo me', 'Penso che meritava Mbappe per tutto. Haaland pure ma Mbappe è superiore', 'Che ha votato troppa poca gente purtroppo 😞', ""penso che il mondo sia bello perche' e' vario"", 'by: Ok Boomer']"
16059,Spotto le vostre playlist sad/low bpm,"['Amnesiac ❤️', 'https://open.spotify.com/playlist/6kBwQbgwaJOPF1Xiv6bjiI?si=bfc0035dd78a445c', 'by: my love']"
16058,,"['aiut 😂', 'T’immucchi', 'by: anon']"
16057,,['by: ciccio']
16056,Ciao admins vi ricordo di aggiornare il DMI Bot perché l'ho sempre trovato una buona idea e mi dispiacerebbe se morisse ❤️ (eg. ci sono ancora i rappresentanti vecchi),"['Seguooo', 'by: topolino']"
16055,Ma dove ci si siede alla seduta di laurea?,"['Su una panca in aula magna', 'Sul trono del laureato', 'sulla sedia di laurea', None, 'by: uwu']"
16054,La prima seduta di laurea del 2024 è l'1 Marzo giusto?,"['Ufficialmente si', 'no, potrebbero essercene altre straordinarie (ufficialmente è il 1 marzo, ma spesso ci sono delle sedute straordinarie)', 'by: ciccio chi?!?!']"
16053,,"[None, 'Di gallo per come mi hanno raccontato alcune cose, io personalmente, penso che ci è finito in mezzo per sbaglio, ma non voglio commentare sugli altri', 'Il processo se non sbaglio è ancora in corso, i professori non sono stati sollevato, ma per esempio il professore gallo ha deciso di dimettersi dal ruolo di direttore del dmi.', ""Sono uscite delle intercettazioni telefoniche (pubbliche online) secondo le quali è saltato fuori che in molte università italiane le cattedre venivano assegnate tramite valuta: scambio di favore. Molti professori sono stati sollevati temporaneamente dall'incarico ai fini delle indagini, ma non c'è stata alcuna punizione alla fine. I rettori coinvolti sono stati sollevati anch'essi dall'incarico"", 'Siamo i migliori', ""era il 2019 e fu l'anno in cui hanno attaccato diversi professori tra cui la Ragusa"", 'Lore? Sono troppo giovane lo so', 'by: Cacatore seriale']"
16052,Ma sapete se il metro shuttle per il centro sicilia giorno 1 funziona?,"['Boh... io chiamerei FCE e chiederei li', 'by: Are you winning son?']"
16051,"Come ci si registra per le Olimpiadi di Informatica?
https://www.itacpc.it/contest-information","['Nel messaggio sul dmi news ho indicato il contatto a cui scrivere per eventuali informazioni.\n\n@antonioscardace', 'by: sponsor di RAID: Shadow Legends']"
16050,Spotto qualcuno che abbia dato Database che conosca dei buoni siti/programmi per esercitarsi a scrivere query in SQL,"[None, ""gli darò un'occhiata, grazie"", ""ho speedrunnato tutte le query di difficoltà easy e medium, fin'ora è stato fantastico, grazie mille"", 'Credo che cercando bene su Github si possano trovare tanti database d’esempio', ""E' poco ma meglio di nulla"", 'A me ha aiutato moltissimo https://www.sql-practice.com/', 'Sqlworkbench', 'Phpmyadmin', 'by: Xenia, the Linux mascot']"
16049,,"['Io credo in Gina', 'si vede che la qualità di spotted è istantaneamente migliorata con i nuovi admin', 'by: Fabio Rovazzi']"
16048,"Spotto il nuovo tasto “E-learning” su smartedu, come funziona e a chi è rivolto?",['by: tizio']
16047,Ragazzi qualcuno ha la spilletta per estrarre la sim con sè al dmi oggi?,"['Puoi provare ad usare un orecchino, dovrebbe funzionare', '😂, scherzavo, comunque Bro non ne ho purtroppo, anche perché ora come ora non sono al dmi', 'sto passando ad iliad già, ne ho a casa di spille per le sim però mi serve adesso usarla', 'No , ma se passi a Wind te la regalo', 'by: Belle Delphine']"
16046,Spotto il roasting di FS ai prof che leggono le slide durante multimedia,['by: spook']
16045,Dove si trova l'aula briscola?,['by: Scheda Bianca-Chan']
16044,Ma in aula briscola si può pregare? Chiedo perchè al dmi funziona tutto al contrario,"['Santi ne ho sentiti, quindi penso di si', 'by: Lorenzo Paoria 😕♍️']"
16043,In cosa consiste esattamente l’esame di IEM? Sia scritto che laboratorio intendo,"['Basta chiedere al prof o guardare le slide no? Cmq \nteoria :\n10 risposte multiple + 4 aperte(queste 4 le puoi affrontare solo se fai almeno 6 risposte multiple giuste, sennò sei bocciato)\nLab:\nScrivi codice in processing', 'by: di sinistra']"
16042,"Sto avendo seri problemi con metodi, non sto capendo come studiarla nonostante me la sia sempre cavato in matematica … Avete qualche fonte utile? In particolare in relazione a quello che sarà l’esame in python",['by: polpetta di cavallo']
16041,"⚠️MESSAGGIO DAGLI ADMIN⚠️
Considerando che almeno 3 attuali admin si dimetteranno presto, è stato deciso di scegliere 6 candidati che andranno a sostituirli e ad aumentare il numero di admin totali.
I nuovi admin sono:

@sukwarakou
@buutao
@picred1
@elakela
@LightDestory
@Alemici26

che si aggiungeranno ai precedenti admin:
@squalex_95 
@Helias
@Herbrant 
@drendog 
@TendTo 
@makapx 
@valentina_frasca

Terremo comunque in considerazione le altre persone che hanno inviato la propria candidatura, in modo da poterli contattare in un secondo momento nel caso fosse necessario.

Rimarremo aperti alla possibilità di ricevere nuove candidature in futuro e discuteremo, insieme ai nuovi admin, le regole e le procedure per aggiungere nuovi admin. 

Inoltre, data la quantità di admin attuali, il numero di voti per approvare o rifiutare gli spot è stato aumentato da 2 a 4.

Come suggerito dalla community, cercheremo di migliorare le attuali regole e di renderle un po' più specifiche al fine di evitare conflitti tra gli utenti.
Se avete suggerimenti siamo sempre disponibili ad ascoltarli qui sotto nei commenti.","[""by: You expected an anonymous name, but it's me DIO""]"
16040,"Secondo voi, si può installare un sistema operativo su pennetta? Non dico le live USB, ma proprio un SO in pennetta se si, pro e contro","['Non è difficile da configurare', None, 'ah kek, ho letto male io. Consiglio a OP un disco esterno piuttosto che una usb, anche per questioni di velocità (oltre che di spazio)', ""credo che fosse per questo che OP ha specificato non le live USB ma proprio l'installazione del SO su pennetta... ad ogni modo seguo che mi interessa"", 'cioè metti che usi kali linux in live...', 'comunque tutto quello che ""installi"" nelle distro live viene cancellato al riavvio', 'in realtà ha molto senso per fare cose simpatiche...', 'Si ma ti conviene disabilitare journaling e probabilmente cambiare scheduler (BFQ ad esempio è adatto per limitare gli accessi a disco)', 'Credo di si ma sarebbe abbastanza limitato forse', 'Si, ma non avrebbe molto senso, dovresti avere delle usb mediamente grandi', 'by: il chiesitore']"
16039,,"['Scrivimi tipo subito', 'Ma infatti', 'COME HAI FATTO L’ABBONAMENTO SE SEI LAUREANDO', 'Come', 'Laureando?', 'by: darkangelcraft']"
16038,"Le date degli esami delle prossime sessioni (ordinarie e straordinarie) , quando usciranno? è da un paio di settimane che mi dicono ""tra poco li pubblicano"" ..","['La inseriscono', 'Manca reti(?)', 'Per Matematica Magistrale li trovi al seguente link: https://web.dmi.unict.it/corsi/lm-40/esami?sessione=4&aa=123', 'Per Informatica Magistrale li trovi al seguente link: https://web.dmi.unict.it/corsi/lm-18/esami?aa=123', 'Per Matematica Triennale li trovi al seguente linK: https://web.dmi.unict.it/corsi/l-35/esami?sessione=4&aa=123', ""Sono in corso di pubblicazione: al seguente link: https://web.dmi.unict.it/corsi/l-31/esami?sessione=4&aa=123 (le date degli appelli straordinari di dicembre li trovi nella sezione sospensione attività didattiche dell'a.a. 2022/2023) e le sessioni ordinarie e straordinarie del nuovo anno accademico li trovi interamente nella sezione dell'a.a. 2023/2024) per il Corso di Laurea in Informatica Triennale"", 'by: Boomer io o disagiati loro?']"
16037,,"['by: Ah shit, here we go again']"
16036,Avete qualche problema che si potrebbe risolvere con un programma o uno script? (Cerco idee per progetti software utili),"['https://github.com/UNICT-DMI/Telegram-SpottedDMI-Bot/issues/\nhttps://github.com/UNICT-DMI/UNICT-Elezioni/issues\nhttps://github.com/UNICT-DMI/IDEAS/issues', 'by: JOJO Reference']"
